S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
1,Garlic Pizza Bread,Sides,Takeaway Menu,1,£3.95,£3.95,£0.00,1,0.03%,All
2,Arrabbiata (Tomato and Chili),Main Courses,Takeaway Menu,3,£10.95,£10.95,£0.00,2,0.09%,All
3,Bolognese della Zia,Main Courses,Takeaway Menu,4,£38.85,£38.85,£0.00,4,0.33%,All
4,Carbonara della Zia,Main Courses,Takeaway Menu,1,£14.95,£14.95,£0.00,1,0.13%,All
5,Amatriciana della Zia,Main Courses,Takeaway Menu,1,£14.95,£14.95,£0.00,1,0.13%,All
6,Alfredo,Main Courses,Takeaway Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
7,Queen Margherita Pizza (V),Pizzas,Takeaway Menu,2,£26.10,£26.10,£0.00,2,0.22%,All
8,Lady Vegetariana Pizza (V),Pizzas,Takeaway Menu,6,£64.30,£64.30,£0.00,5,0.54%,All
9,Hawaiiana Pizza,Pizzas,Takeaway Menu,8,£98.05,£98.05,£0.00,8,0.82%,All
10,Pollo Barbecue Pizza,Pizzas,Takeaway Menu,4,£47.10,£47.10,£0.00,4,0.40%,All
11,Milano Pizza,Pizzas,Takeaway Menu,4,£69.85,£69.85,£0.00,4,0.59%,All
12,DAvola Pizza,Pizzas,Takeaway Menu,3,£43.35,£43.35,£0.00,3,0.36%,All
13,Calzone Pollo Barbecue,Calzone,Takeaway Menu,2,£31.20,£31.20,£0.00,2,0.26%,All
14,Marinated Olives,Appetizers,Restaurant Menu,6,£28.50,£28.50,£0.00,6,0.24%,All
15,Antipasto di Terra,To Share,Restaurant Menu,3,£41.85,£41.85,£0.00,3,0.35%,All
16,Bruschetta al Pomodoro,Starter,Restaurant Menu,9,£67.05,£67.05,£0.00,8,0.56%,All
17,Bruschetta al Pollo (Chicken),Starter,Restaurant Menu,2,£16.90,£16.90,£0.00,2,0.14%,All
18,Caprese Tricolore,Starter,Restaurant Menu,2,£15.90,£15.90,£0.00,2,0.13%,All
19,Calamari Fritti,Starter,Restaurant Menu,13,£109.85,£109.85,£0.00,11,0.92%,All
20,Parmigiana Toscana,Starter,Restaurant Menu,1,£7.45,£7.45,£0.00,1,0.06%,All
21,Pate della Zia,Starter,Restaurant Menu,3,£24.00,£24.00,£0.00,2,0.20%,All
22,Polpette della Nonna Pina,Starter,Restaurant Menu,4,£33.80,£33.80,£0.00,4,0.28%,All
23,Southern Fried Chicken Goujons (4 pieces),Starter,Restaurant Menu,7,£52.15,£52.15,£0.00,7,0.44%,All
24,Tomato and Onion Salad,Sides,Restaurant Menu,3,£12.82,£12.82,£0.00,3,0.11%,All
25,House Salad,Sides,Restaurant Menu,10,£50.00,£50.00,£0.00,10,0.42%,All
26,Garlic Pizza Bread,Sides,Restaurant Menu,24,£90.49,£90.49,£0.00,20,0.76%,All
27,Classic Fries,Sides,Restaurant Menu,34,£137.66,£137.66,£0.00,26,1.16%,All
28,Lasagne al Emilia-Romagna,Main Course,Restaurant Menu,24,£323.65,£323.65,£0.00,20,2.72%,All
29,Cannelloni Ricotta e Spinaci,Main Course,Restaurant Menu,3,£41.85,£41.85,£0.00,3,0.35%,All
30,Napoli,Main Course,Restaurant Menu,1,£10.95,£10.95,£0.00,1,0.09%,All
31,Arrabbiata (Tomato and Chili),Main Course,Restaurant Menu,6,£65.70,£65.70,£0.00,6,0.55%,All
32,Bolognese della Zia,Main Course,Restaurant Menu,14,£165.13,£165.13,£0.00,11,1.39%,All
33,Carbonara della Zia,Main Course,Restaurant Menu,15,£226.20,£226.20,£0.00,12,1.90%,All
34,Seafood Lovers,Main Course,Restaurant Menu,7,£111.65,£111.65,£0.00,6,0.94%,All
35,Amatriciana della Zia,Main Course,Restaurant Menu,3,£44.85,£44.85,£0.00,2,0.38%,All
36,Alfredo,Main Course,Restaurant Menu,9,£134.55,£134.55,£0.00,8,1.13%,All
37,Seafood Risotto,Risotto,Restaurant Menu,10,£159.50,£159.50,£0.00,9,1.34%,All
38,Vegetable Risotto,Risotto,Restaurant Menu,6,£83.70,£83.70,£0.00,6,0.70%,All
39,Queen Margherita Pizza (V),Pizza,Restaurant Menu,30,£293.25,£293.25,£0.00,26,2.47%,All
40,Funghi Pizza (V),Pizza,Restaurant Menu,7,£73.65,£73.65,£0.00,7,0.62%,All
41,Lady Vegetariana Pizza (V),Pizza,Restaurant Menu,8,£106.60,£106.60,£0.00,7,0.90%,All
42,Quattro Formaggi Pizza,Pizza,Restaurant Menu,4,£59.80,£59.80,£0.00,4,0.50%,All
43,Vitto Special Pizza,Pizza,Restaurant Menu,4,£46.35,£46.35,£0.00,4,0.39%,All
44,Hawaiiana Pizza,Pizza,Restaurant Menu,17,£149.90,£149.90,£0.00,17,1.26%,All
45,Al Prosciutto Pizza,Pizza,Restaurant Menu,9,£105.09,£105.09,£0.00,9,0.88%,All
46,La Parmigiana Pizza,Pizza,Restaurant Menu,5,£59.80,£59.80,£0.00,5,0.50%,All
47,Bolognese Pizza,Pizza,Restaurant Menu,6,£45.22,£45.22,£0.00,4,0.38%,All
48,Pollo Barbecue Pizza,Pizza,Restaurant Menu,10,£150.11,£150.11,£0.00,10,1.26%,All
