S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
1,Calamari Fritti,Starters,Takeaway Menu,2,£16.90,£16.90,£0.00,2,0.12%,All
2,Garlic Pizza Bread,Sides,Takeaway Menu,4,£17.80,£17.80,£0.00,4,0.12%,All
3,Bolognese della Zia,Main Courses,Takeaway Menu,2,£12.95,£12.95,£0.00,2,0.09%,All
4,Carbonara della Zia,Main Courses,Takeaway Menu,6,£61.75,£61.75,£0.00,4,0.43%,All
5,Seafood Lovers,Main Courses,Takeaway Menu,2,£31.90,£31.90,£0.00,2,0.22%,All
6,Amatriciana della Zia,Main Courses,Takeaway Menu,2,£0.00,£0.00,£0.00,2,0.00%,All
7,Alfredo,Main Courses,Takeaway Menu,6,£61.75,£61.75,£0.00,5,0.43%,All
8,Queen Margherita Pizza (V),Pizzas,Takeaway Menu,6,£64.50,£64.50,£0.00,5,0.45%,All
9,Lady Vegetariana Pizza (V),Pizzas,Takeaway Menu,3,£29.90,£29.90,£0.00,2,0.21%,All
10,Vitto Special Pizza,Pizzas,Takeaway Menu,1,£17.40,£17.40,£0.00,1,0.12%,All
11,Hawaiiana Pizza,Pizzas,Takeaway Menu,2,£0.00,£0.00,£0.00,2,0.00%,All
12,Al Prosciutto Pizza,Pizzas,Takeaway Menu,2,£32.85,£32.85,£0.00,2,0.23%,All
13,La Parmigiana Pizza,Pizzas,Takeaway Menu,2,£35.75,£35.75,£0.00,2,0.25%,All
14,Pollo Barbecue Pizza,Pizzas,Takeaway Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
15,Milano Pizza,Pizzas,Takeaway Menu,3,£32.15,£32.15,£0.00,3,0.22%,All
16,DAvola Pizza,Pizzas,Takeaway Menu,5,£43.35,£43.35,£0.00,5,0.30%,All
17,Zia Special Pizza,Pizzas,Takeaway Menu,2,£31.90,£31.90,£0.00,2,0.22%,All
18,American Pepperoni Pizza,Pizzas,Takeaway Menu,6,£58.05,£58.05,£0.00,5,0.40%,All
19,Tonno e Cipolla Pizza,Pizzas,Takeaway Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
20,Calzone Vitto Special,Calzone,Takeaway Menu,1,£16.45,£16.45,£0.00,1,0.11%,All
21,Profiteroles,Desserts,Takeaway Menu,2,£11.00,£11.00,£0.00,1,0.08%,All
22,Marinated Olives,Appetizers,Restaurant Menu,4,£18.56,£18.56,£0.00,4,0.13%,All
23,Antipasto di Terra,To Share,Restaurant Menu,4,£55.80,£55.80,£0.00,4,0.39%,All
24,Bruschetta al Pomodoro,Starter,Restaurant Menu,6,£44.02,£44.02,£0.00,5,0.31%,All
25,Bruschetta al Pollo (Chicken),Starter,Restaurant Menu,6,£50.70,£50.70,£0.00,5,0.35%,All
26,Calamari Fritti,Starter,Restaurant Menu,9,£73.28,£73.28,£0.00,7,0.51%,All
27,Parmigiana Toscana,Starter,Restaurant Menu,1,£7.45,£7.45,£0.00,1,0.05%,All
28,Polpette della Nonna Pina,Starter,Restaurant Menu,3,£25.35,£25.35,£0.00,3,0.18%,All
29,Southern Fried Chicken Goujons (4 pieces),Starter,Restaurant Menu,6,£44.70,£44.70,£0.00,6,0.31%,All
30,Tomato and Onion Salad,Sides,Restaurant Menu,5,£23.75,£23.75,£0.00,4,0.17%,All
31,House Salad,Sides,Restaurant Menu,9,£38.82,£38.82,£0.00,9,0.27%,All
32,Garlic Pizza Bread,Sides,Restaurant Menu,23,£98.49,£98.49,£0.00,21,0.69%,All
33,Classic Fries,Sides,Restaurant Menu,27,£127.50,£127.50,£0.00,18,0.89%,All
34,Lasagne al Emilia-Romagna,Main Course,Restaurant Menu,13,£196.95,£196.95,£0.00,12,1.37%,All
35,Cannelloni Ricotta e Spinaci,Main Course,Restaurant Menu,6,£89.55,£89.55,£0.00,4,0.62%,All
36,Arrabbiata (Tomato and Chili),Main Course,Restaurant Menu,4,£43.80,£43.80,£0.00,4,0.30%,All
37,Bolognese della Zia,Main Course,Restaurant Menu,9,£116.55,£116.55,£0.00,8,0.81%,All
38,Carbonara della Zia,Main Course,Restaurant Menu,5,£74.75,£74.75,£0.00,5,0.52%,All
39,Seafood Lovers,Main Course,Restaurant Menu,6,£95.70,£95.70,£0.00,5,0.67%,All
40,Amatriciana della Zia,Main Course,Restaurant Menu,4,£58.43,£58.43,£0.00,4,0.41%,All
41,Alfredo,Main Course,Restaurant Menu,3,£44.85,£44.85,£0.00,3,0.31%,All
42,Seafood Risotto,Risotto,Restaurant Menu,9,£143.55,£143.55,£0.00,9,1.00%,All
43,Vegetable Risotto,Risotto,Restaurant Menu,3,£41.85,£41.85,£0.00,3,0.29%,All
44,Queen Margherita Pizza (V),Pizza,Restaurant Menu,11,£97.54,£97.54,£0.00,7,0.68%,All
45,Funghi Pizza (V),Pizza,Restaurant Menu,9,£109.25,£109.25,£0.00,9,0.76%,All
46,Lady Vegetariana Pizza (V),Pizza,Restaurant Menu,2,£31.85,£31.85,£0.00,2,0.22%,All
47,Quattro Formaggi Pizza,Pizza,Restaurant Menu,4,£44.85,£44.85,£0.00,4,0.31%,All
48,Hawaiiana Pizza,Pizza,Restaurant Menu,8,£107.61,£107.61,£0.00,7,0.75%,All
49,Al Prosciutto Pizza,Pizza,Restaurant Menu,4,£61.65,£61.65,£0.00,4,0.43%,All
50,Bolognese Pizza,Pizza,Restaurant Menu,1,£16.40,£16.40,£0.00,1,0.11%,All
51,Pollo Barbecue Pizza,Pizza,Restaurant Menu,5,£59.80,£59.80,£0.00,5,0.42%,All
52,Milano Pizza,Pizza,Restaurant Menu,8,£118.59,£118.59,£0.00,7,0.83%,All
53,DAvola Pizza,Pizza,Restaurant Menu,5,£66.92,£66.92,£0.00,4,0.47%,All
54,Polpette della Zia Pizza,Pizza,Restaurant Menu,2,£30.90,£30.90,£0.00,2,0.22%,All
55,Zia Special Pizza,Pizza,Restaurant Menu,13,£208.90,£208.90,£0.00,9,1.45%,All
56,American Pepperoni Pizza,Pizza,Restaurant Menu,14,£194.69,£194.69,£0.00,13,1.36%,All
57,Tonno e Cipolla Pizza,Pizza,Restaurant Menu,1,£13.95,£13.95,£0.00,1,0.10%,All
58,Frutti di Mare Pizza,Pizza,Restaurant Menu,4,£68.00,£68.00,£0.00,4,0.47%,All
59,Romana Pizza,Pizza,Restaurant Menu,2,£27.90,£27.90,£0.00,2,0.19%,All
60,Calzone Cremoso,Calzone,Restaurant Menu,6,£95.70,£95.70,£0.00,6,0.67%,All
61,Calzone Vitto Special,Calzone,Restaurant Menu,1,£16.45,£16.45,£0.00,1,0.11%,All
62,Calzone Zia Special,Calzone,Restaurant Menu,6,£98.70,£98.70,£0.00,6,0.69%,All
63,Calzone Pollo Barbecue,Calzone,Restaurant Menu,4,£61.80,£61.80,£0.00,4,0.43%,All
64,Tiramisu,Dessert,Restaurant Menu,5,£32.25,£32.25,£0.00,4,0.22%,All
65,Profiteroles,Dessert,Restaurant Menu,7,£38.50,£38.50,£0.00,6,0.27%,All
66,Cheesecake,Dessert,Restaurant Menu,10,£64.50,£64.50,£0.00,5,0.45%,All
67,Italian Affogato,Dessert,Restaurant Menu,5,£27.50,£27.50,£0.00,4,0.19%,All
68,Bread and Butter Pudding,Dessert,Restaurant Menu,4,£22.00,£22.00,£0.00,4,0.15%,All
69,Italian Ice Cream Selection (Gelato) - 1 Scoop,Dessert,Restaurant Menu,13,£19.92,£19.92,£0.00,5,0.14%,All
70,Italian Ice Cream Selection (Gelato) - 2 Scoops,Dessert,Restaurant Menu,2,£7.98,£7.98,£0.00,2,0.06%,All
71,Italian Ice Cream Selection (Gelato) - 3 Scoops,Dessert,Restaurant Menu,2,£10.98,£10.98,£0.00,1,0.08%,All
72,Pizzas,Kids Menu,Restaurant Menu,17,£65.19,£65.19,£0.00,12,0.45%,All
73,Pastas,Kids Menu,Restaurant Menu,3,£20.85,£20.85,£0.00,3,0.15%,All
74,Fried Favorites,Kids Menu,Restaurant Menu,2,£11.35,£11.35,£0.00,2,0.08%,All
75,Pinot Grigio DOC,White Wine,DRINKS,1,£7.95,£7.95,£0.00,1,0.06%,All
76,Birra Moretti,Bottled Beer and Cider,DRINKS,1,£4.50,£4.50,£0.00,1,0.03%,All
77,Lemonade,Soft Drinks,DRINKS,1,£2.95,£2.95,£0.00,1,0.02%,All
78,Orange Juice,Soft Drinks,DRINKS,1,£2.95,£2.95,£0.00,1,0.02%,All
79,Rio Tropical,Soft Drinks,DRINKS,2,£5.90,£5.90,£0.00,1,0.04%,All
80,Tonic Water,Soft Drinks,DRINKS,1,£2.95,£2.95,£0.00,1,0.02%,All
81,Buffalo Ridge Zinfandel Rose,Rose Wine,DRINKS,1,£8.45,£8.45,£0.00,1,0.06%,All
82,Aperol Spritz,Classic Cocktails,DRINKS,1,£0.00,£0.00,£0.00,1,0.00%,All
83,Limoncello Bellini,Classic Cocktails,DRINKS,2,£0.00,£0.00,£0.00,1,0.00%,All
84,Angelo Poretti,Draught Beers and Ciders,DRINKS,1,£5.00,£5.00,£0.00,1,0.03%,All
85,Garlic mayonnaise,Dips,Restaurant Menu,10,£3.00,£3.00,£0.00,3,0.02%,All
86,Hot chili,Dips,Restaurant Menu,4,£1.20,£1.20,£0.00,3,0.01%,All
87,Sweet chili,Dips,Restaurant Menu,1,£0.30,£0.30,£0.00,1,0.00%,All
88,Calamari Fritti,Starters,SUNDAY ROAST SPECIALS MENU - duplicate,4,£34.00,£34.00,£0.00,3,0.24%,All
89,Soda Water,Soft Drinks,DRINKS,1,£2.95,£2.95,£0.00,1,0.02%,All
90,lime cordial,Soft Drinks,DRINKS,2,£1.50,£1.50,£0.00,1,0.01%,All
91,Premium Cut Topside Beef,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,35,£642.41,£642.41,£0.00,22,4.47%,All
92,Free-Range Organic Chicken,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,24,£382.80,£382.80,£0.00,16,2.66%,All
93,Pan-Roasted Scottish Fillet Salmon,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,3,£53.85,£53.85,£0.00,3,0.37%,All
94,Mediterranean Vegan Wellington,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,3,£44.85,£44.85,£0.00,3,0.31%,All
95,Cauliflower Cheese,Sides,SUNDAY ROAST SPECIALS MENU - duplicate,19,£93.56,£93.56,£0.00,16,0.65%,All
96,Chips,Sides,SUNDAY ROAST SPECIALS MENU - duplicate,2,£9.50,£9.50,£0.00,2,0.07%,All
97,Cheesy Chips,Sides,SUNDAY ROAST SPECIALS MENU - duplicate,1,£5.75,£5.75,£0.00,1,0.04%,All
98,Roast Potatoes,Sides,SUNDAY ROAST SPECIALS MENU - duplicate,5,£24.75,£24.75,£0.00,3,0.17%,All
99,Garlic Pizza Bread,Sides,SUNDAY ROAST SPECIALS MENU - duplicate,3,£15.85,£15.85,£0.00,3,0.11%,All
100,Profiteroles,Desserts,SUNDAY ROAST SPECIALS MENU - duplicate,2,£11.00,£11.00,£0.00,2,0.08%,All
101,Baby Roast,Kids Menu,SUNDAY ROAST SPECIALS MENU - duplicate,6,£59.94,£59.94,£0.00,4,0.42%,All
102,Chicken Goujons with Chips,Kids Menu,SUNDAY ROAST SPECIALS MENU - duplicate,3,£29.97,£29.97,£0.00,1,0.21%,All
103,House White,White Wines,DRINKS MENU,8,£77.10,£77.10,£0.00,6,0.54%,All
104,Pinot Grigio,White Wines,DRINKS MENU,21,£211.70,£211.70,£0.00,17,1.47%,All
105,Pecorino,White Wines,DRINKS MENU,2,£15.00,£15.00,£0.00,2,0.10%,All
106,Sauvignon Blanc,White Wines,DRINKS MENU,13,£101.86,£101.86,£0.00,12,0.71%,All
107,Pinot Grigio Blush Ponte,Rose Wines,DRINKS MENU,5,£32.50,£32.50,£0.00,4,0.23%,All
108,Buffalo Ridge Zinfandel Rose,Rose Wines,DRINKS MENU,9,£87.55,£87.55,£0.00,8,0.61%,All
