S.no,Date,Gross Sales,Net Sales,VAT,AVG Bill,Card,3rd Party Payment,Cash,Items QTY,Orders,Advances,Tips,Refunds,
1,01-12-2025,£175.61,£175.61,£0.00,£35.12,£156.11,£0.00,£19.50,23,5,£0.00,£0.00,£0.00,All
2,02-12-2025,£654.18,£654.18,£0.00,£54.52,£634.13,£0.00,£20.05,81,12,£0.00,£0.00,£0.00,All
3,03-12-2025,"£1,617.29","£1,617.29",£0.00,£62.20,"£1,042.69",£0.00,£574.60,161,26,£0.00,£0.00,£0.00,All
4,04-12-2025,£256.18,£256.18,£0.00,£64.05,£256.18,£0.00,£0.00,35,4,£0.00,£0.00,£0.00,All
5,05-12-2025,£637.51,£637.51,£0.00,£53.13,£570.93,£0.00,£66.58,93,12,£0.00,£0.00,£0.00,All
6,06-12-2025,"£1,591.45","£1,591.45",£0.00,£46.81,"£1,255.30",£0.00,£336.15,194,34,£0.00,£0.00,£0.00,All
7,07-12-2025,£959.69,£959.69,£0.00,£63.98,£959.69,£0.00,£0.00,120,15,£0.00,£0.00,£0.00,All
8,08-12-2025,"£1,107.44","£1,107.44",£0.00,£79.10,"£1,031.29",£0.00,£76.15,138,14,£0.00,£0.00,£0.00,All
9,09-12-2025,£342.47,£342.47,£0.00,£57.08,£161.19,£0.00,£181.28,68,6,£0.00,£0.00,£0.00,All
10,10-12-2025,£815.70,£815.70,£0.00,£67.98,£562.17,£0.00,£253.53,83,12,£0.00,£0.00,£0.00,All
11,11-12-2025,"£1,223.58","£1,223.58",£0.00,£305.90,"£1,200.78",£0.00,£22.80,22,4,£0.00,£0.00,£0.00,All
12,12-12-2025,£531.97,£531.97,£0.00,£53.20,£405.33,£0.00,£126.64,67,10,£0.00,£0.00,£0.00,All
13,13-12-2025,£279.98,£279.98,£0.00,£70.00,£222.53,£0.00,£57.45,34,4,£0.00,£0.00,£0.00,All
14,14-12-2025,"£1,215.58","£1,215.58",£0.00,£81.04,£976.28,£0.00,£239.30,137,15,£0.00,£0.00,£0.00,All
15,15-12-2025,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
16,16-12-2025,£360.57,£360.57,£0.00,£45.07,£350.12,£0.00,£18.45,61,8,£0.00,£8.00,£0.00,All
17,17-12-2025,"£1,460.48","£1,460.48",£0.00,£104.32,"£1,393.53",£0.00,£66.95,147,14,£0.00,£0.00,£0.00,All
18,18-12-2025,£64.30,£64.30,£0.00,£32.15,£64.30,£0.00,£0.00,12,2,£0.00,£0.00,£0.00,All
19,19-12-2025,£561.86,£561.86,£0.00,£37.46,£532.96,£0.00,£28.90,72,15,£0.00,£0.00,£0.00,All
20,20-12-2025,£533.52,£533.52,£0.00,£44.46,£407.82,£0.00,£125.70,59,12,£0.00,£0.00,£0.00,All
21,21-12-2025,£650.72,£650.72,£0.00,£81.34,£635.67,£0.00,£15.05,113,8,£0.00,£0.00,£0.00,All
22,22-12-2025,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
23,23-12-2025,£332.01,£332.01,£0.00,£55.34,£264.26,£0.00,£67.75,57,6,£0.00,£0.00,£0.00,All
24,24-12-2025,£749.28,£749.28,£0.00,£74.93,£402.78,£0.00,£346.50,74,10,£0.00,£0.00,£0.00,All
25,25-12-2025,"£2,358.61","£2,358.61",£0.00,£157.24,"£1,972.66",£0.00,£395.95,132,15,£0.00,£10.00,£0.00,All
26,26-12-2025,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
27,27-12-2025,£548.62,£548.62,£0.00,£91.44,£553.62,£0.00,£0.00,71,6,£0.00,£5.00,£0.00,All
28,28-12-2025,£524.45,£524.45,£0.00,£74.92,£524.45,£0.00,£0.00,73,7,£0.00,£0.00,£0.00,All
29,29-12-2025,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
30,30-12-2025,£265.97,£265.97,£0.00,£53.19,£265.97,£0.00,£0.00,31,5,£0.00,£0.00,£0.00,All
31,31-12-2025,£643.48,£643.48,£0.00,£71.50,£587.43,£0.00,£61.05,50,9,£0.00,£5.00,£0.00,All
,,"£20,462.50","£20,462.50",£0.00,£70.56,"£17,390.17",£0.00,"£3,100.33",2208,290,£0.00,£28.00,£0.00,
