S.no,Date,Gross Sales,Net Sales,VAT,AVG Bill,Card,3rd Party Payment,Cash,Items QTY,Orders,Advances,Tips,Refunds,
1,01-01-2026,£254.53,£254.53,£0.00,£50.91,£231.13,£0.00,£23.40,39,5,£0.00,£0.00,£0.00,All
2,02-01-2026,£584.68,£584.68,£0.00,£58.47,£569.68,£0.00,£15.00,80,10,£0.00,£0.00,£0.00,All
3,03-01-2026,£408.40,£408.40,£0.00,£102.10,£398.40,£0.00,£10.00,55,4,£0.00,£0.00,£0.00,All
4,04-01-2026,£307.42,£307.42,£0.00,£34.16,£259.62,£0.00,£47.80,41,9,£0.00,£0.00,£0.00,All
5,05-01-2026,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
6,06-01-2026,£99.25,£99.25,£0.00,£33.08,£99.25,£0.00,£0.00,14,3,£0.00,£0.00,£0.00,All
7,07-01-2026,£464.41,£464.41,£0.00,£58.05,£233.91,£0.00,£230.50,52,8,£0.00,£0.00,£0.00,All
8,08-01-2026,£305.32,£305.32,£0.00,£101.77,£230.75,£0.00,£74.57,56,3,£0.00,£0.00,£0.00,All
9,09-01-2026,£49.80,£49.80,£0.00,£49.80,£49.80,£0.00,£0.00,6,1,£0.00,£0.00,£0.00,All
10,10-01-2026,"£1,928.56","£1,928.56",£0.00,£43.83,"£1,874.26",£0.00,£54.30,185,44,£0.00,£0.00,£0.00,All
11,11-01-2026,"£1,139.55","£1,139.55",£0.00,£75.97,£886.13,£0.00,£258.42,169,15,£0.00,£5.00,£0.00,All
12,12-01-2026,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
13,13-01-2026,£264.35,£264.35,£0.00,£29.37,£202.20,£0.00,£67.15,45,9,£0.00,£5.00,£0.00,All
14,14-01-2026,"£1,184.27","£1,184.27",£0.00,£69.66,£972.57,£0.00,£211.70,116,17,£0.00,£0.00,£0.00,All
15,15-01-2026,£609.11,£609.11,£0.00,£60.91,£534.41,£0.00,£74.70,103,10,£0.00,£0.00,£0.00,All
16,16-01-2026,£763.09,£763.09,£0.00,£84.79,£553.89,£0.00,£209.20,108,9,£0.00,£0.00,£0.00,All
17,17-01-2026,£597.42,£597.42,£0.00,£54.31,£545.82,£0.00,£51.60,85,11,£0.00,£0.00,£0.00,All
18,18-01-2026,"£1,564.05","£1,564.05",£0.00,£62.56,"£1,307.50",£0.00,£261.55,231,25,£0.00,£5.00,£0.00,All
19,19-01-2026,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
20,20-01-2026,£171.05,£171.05,£0.00,£42.76,£125.25,£0.00,£45.80,28,4,£0.00,£0.00,£0.00,All
21,21-01-2026,£504.83,£504.83,£0.00,£56.09,£319.12,£0.00,£185.71,55,9,£0.00,£0.00,£0.00,All
22,22-01-2026,£172.86,£172.86,£0.00,£43.22,£162.44,£0.00,£10.42,24,4,£0.00,£0.00,£0.00,All
23,23-01-2026,£353.52,£353.52,£0.00,£70.70,£327.18,£0.00,£26.34,49,5,£0.00,£0.00,£0.00,All
24,24-01-2026,£616.71,£616.71,£0.00,£41.11,£530.01,£0.00,£86.70,74,15,£0.00,£0.00,£0.00,All
25,25-01-2026,"£1,503.52","£1,503.52",£0.00,£68.34,"£1,210.85",£39.32,£253.35,173,22,£0.00,£0.00,£0.00,All
26,26-01-2026,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
27,27-01-2026,£240.02,£240.02,£0.00,£40.00,£240.02,£0.00,£0.00,27,6,£0.00,£0.00,£0.00,All
28,28-01-2026,"£1,075.00","£1,075.00",£0.00,£67.19,£875.67,£31.68,£167.65,105,16,£0.00,£0.00,£0.00,All
29,29-01-2026,£389.42,£389.42,£0.00,£64.90,£325.67,£0.00,£63.75,54,6,£0.00,£0.00,£0.00,All
30,30-01-2026,£993.66,£993.66,£0.00,£49.68,£995.76,£0.00,£7.90,188,20,£0.00,£10.00,£0.00,All
31,31-01-2026,"£1,957.05","£1,957.05",£0.00,£81.54,"£1,520.74",£0.00,£436.31,381,24,£0.00,£0.00,£0.00,All
,,"£18,501.85","£18,501.85",£0.00,£58.92,"£15,582.03",£71.00,"£2,873.82",2543,314,£0.00,£25.00,£0.00,
