S.no,Product Code,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
1,,Coke,Drinks,Food Menu,5,£0.00,£0.00,£0.00,4,0.00%,All
2,,Diet Coke,Drinks,Food Menu,8,£0.00,£0.00,£0.00,5,0.00%,All
3,,Orange Tango,Drinks,Food Menu,6,£0.00,£0.00,£0.00,6,0.00%,All
4,,Lemonade,Drinks,Food Menu,10,£0.00,£0.00,£0.00,9,0.00%,All
5,,Dubai Chocolate Tiramisu,Zia Signatures,Food Menu,2,£13.90,£11.58,£2.32,2,0.08%,All
6,,Zia Burrata Truffle Pizza,Zia Signatures,Food Menu,2,£29.90,£24.92,£4.98,2,0.18%,All
7,,Whitehorse Pizza (Westbury Special),Zia Signatures,Food Menu,6,£79.25,£66.04,£13.21,6,0.48%,All
8,,Lasagne Al Forno,Zia Signatures,Food Menu,5,£64.75,£53.96,£10.79,3,0.39%,All
9,,Classic Fries,Sides,Food Menu,42,£166.00,£138.35,£26.33,36,1.01%,All
10,,Mozzarella Bites,Sides,Food Menu,16,£74.75,£62.29,£12.46,15,0.45%,All
11,,Arancini Bolognese,Sides,Food Menu,6,£35.70,£29.75,£5.95,6,0.22%,All
12,,Margherita 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,53,£593.35,£500.72,£89.32,45,3.59%,All
13,,Pepperoni 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,65,£634.90,£519.95,£101.02,54,3.85%,All
14,,Vegetariana 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,13,£133.30,£114.38,£18.92,11,0.81%,All
15,,Funghi 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,13,£132.30,£112.23,£20.07,13,0.80%,All
16,,Hawaiian 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,19,£185.10,£155.90,£29.20,19,1.12%,All
17,,Zia Special 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,33,£452.50,£377.98,£74.52,32,2.74%,All
18,,Beef Brisket BBQ 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,20,£237.61,£198.33,£39.28,19,1.44%,All
