S.no,Date,Gross Sales,Net Sales,VAT,AVG Bill,Card,3rd Party Payment,Cash,Items QTY,Orders,Advances,Tips,Refunds,
1,01-12-2025,£272.45,£267.02,£5.43,£22.70,£205.59,£35.91,£30.95,23,12,£0.00,£0.00,£0.00,All
2,02-12-2025,£514.14,£503.74,£10.40,£17.73,£115.21,£213.53,£185.40,67,29,£0.00,£0.00,£0.00,All
3,03-12-2025,£540.02,£520.75,£19.27,£20.77,£311.57,£189.10,£39.35,71,26,£0.00,£0.00,£0.00,All
4,04-12-2025,£794.81,£741.38,£53.43,£18.48,£482.81,£226.41,£85.59,102,43,£0.00,£0.00,£0.00,All
5,05-12-2025,"£1,139.09","£1,086.53",£52.56,£28.48,£684.45,£429.74,£24.90,138,40,£0.00,£0.00,£0.00,All
6,06-12-2025,£760.68,£741.36,£19.32,£33.07,£114.00,£635.73,£10.95,118,23,£0.00,£0.00,£0.00,All
7,07-12-2025,£555.69,£537.16,£18.53,£32.69,£93.65,£452.09,£9.95,89,17,£0.00,£0.00,£0.00,All
8,08-12-2025,£134.30,£129.67,£4.63,£19.19,£61.85,£69.50,£2.95,15,7,£0.00,£0.00,£0.00,All
9,09-12-2025,£511.24,£481.22,£30.02,£25.56,£322.75,£174.09,£14.40,97,20,£0.00,£0.00,£0.00,All
10,10-12-2025,£448.57,£417.65,£30.92,£18.69,£184.90,£226.32,£37.35,75,24,£0.00,£0.00,£0.00,All
11,11-12-2025,£731.04,£702.91,£28.13,£23.58,£453.56,£185.79,£91.69,75,31,£0.00,£0.00,£0.00,All
12,12-12-2025,£759.87,£697.15,£62.72,£24.51,£494.80,£230.12,£34.95,103,31,£0.00,£0.00,£0.00,All
13,13-12-2025,£667.06,£612.86,£54.20,£31.76,£276.50,£339.86,£50.70,119,21,£0.00,£0.00,£0.00,All
14,14-12-2025,£366.55,£345.63,£20.92,£28.20,£135.95,£230.60,£0.00,72,13,£0.00,£0.00,£0.00,All
15,15-12-2025,£724.02,£690.01,£34.01,£26.82,£320.49,£403.53,£0.00,109,27,£0.00,£0.00,£0.00,All
16,16-12-2025,£694.05,£660.81,£33.24,£38.56,£496.03,£159.52,£45.70,74,18,£0.00,£7.20,£0.00,All
17,17-12-2025,"£1,055.43",£978.79,£76.64,£21.54,£716.62,£246.02,£92.79,168,49,£0.00,£0.00,£0.00,All
18,18-12-2025,£453.47,£443.28,£10.19,£26.67,£58.77,£391.20,£3.50,69,17,£0.00,£0.00,£0.00,All
19,19-12-2025,£753.39,£678.24,£75.15,£34.25,£466.31,£287.08,£0.00,136,22,£0.00,£0.00,£0.00,All
20,20-12-2025,"£1,131.00","£1,075.63",£55.37,£28.28,£263.53,£776.13,£91.34,172,40,£0.00,£0.00,£0.00,All
21,21-12-2025,£428.72,£410.34,£18.38,£25.22,£107.92,£300.36,£20.44,49,17,£0.00,£0.00,£0.00,All
22,22-12-2025,£536.91,£505.22,£31.69,£29.83,£191.65,£331.81,£13.45,81,18,£0.00,£0.00,£0.00,All
23,23-12-2025,£681.44,£650.80,£30.64,£29.63,£105.85,£493.19,£82.40,100,23,£0.00,£0.00,£0.00,All
24,24-12-2025,£504.70,£488.75,£15.95,£28.04,£91.90,£402.85,£9.95,61,18,£0.00,£0.00,£0.00,All
25,25-12-2025,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,0,0,£0.00,£0.00,£0.00,All
26,26-12-2025,£302.61,£279.59,£23.02,£25.22,£27.85,£158.20,£116.56,42,12,£0.00,£0.00,£0.00,All
27,27-12-2025,£611.30,£578.00,£33.30,£27.79,£194.70,£406.65,£9.95,104,22,£0.00,£0.00,£0.00,All
28,28-12-2025,£737.58,£700.03,£37.55,£27.32,£195.40,£503.43,£38.75,111,27,£0.00,£0.00,£0.00,All
29,29-12-2025,£900.89,£872.83,£28.06,£37.54,£138.70,£736.39,£25.80,126,24,£0.00,£0.00,£0.00,All
30,30-12-2025,£636.19,£600.78,£35.41,£31.81,£90.59,£393.83,£151.77,85,20,£0.00,£0.00,£0.00,All
31,31-12-2025,£679.04,£645.75,£33.29,£29.52,£196.15,£482.89,£0.00,107,23,£0.00,£0.00,£0.00,All
,,"£19,026.25","£18,043.88",£982.37,£26.65,"£7,600.05","£10,111.87","£1,321.53",2758,714,£0.00,£7.20,£0.00,
