S.no,Date,Gross Sales,Net Sales,VAT,AVG Bill,Card,3rd Party Payment,Cash,Items QTY,Orders,Advances,Tips,Refunds,
1,01-01-2026,£560.74,£542.11,£18.63,£31.15,£95.35,£458.44,£6.95,92,18,£0.00,£0.00,£0.00,All
2,02-01-2026,£933.75,£887.54,£46.21,£28.30,£205.84,£651.09,£76.82,138,33,£0.00,£0.00,£0.00,All
3,03-01-2026,£839.34,£796.07,£43.27,£36.49,£276.94,£562.40,£0.00,125,23,£0.00,£0.00,£0.00,All
4,04-01-2026,£458.46,£435.94,£22.52,£26.97,£108.55,£322.06,£27.85,68,17,£0.00,£0.00,£0.00,All
5,05-01-2026,£587.44,£563.45,£23.99,£30.92,£124.28,£442.76,£20.40,94,19,£0.00,£0.00,£0.00,All
6,06-01-2026,£272.75,£260.22,£12.53,£22.73,£39.35,£200.57,£32.83,39,12,£0.00,£0.00,£0.00,All
7,07-01-2026,£594.78,£571.87,£22.91,£31.30,£149.99,£444.79,£0.00,83,19,£0.00,£0.00,£0.00,All
8,08-01-2026,£330.67,£325.23,£5.44,£33.07,£83.94,£246.73,£0.00,44,10,£0.00,£0.00,£0.00,All
9,09-01-2026,£860.43,£807.23,£53.20,£34.42,£358.93,£501.50,£0.00,138,25,£0.00,£0.00,£0.00,All
10,10-01-2026,£845.06,£787.66,£57.40,£33.80,£341.62,£482.74,£20.70,114,25,£0.00,£0.00,£0.00,All
11,11-01-2026,£411.34,£402.61,£8.73,£24.20,£46.93,£361.46,£2.95,62,17,£0.00,£0.00,£0.00,All
12,12-01-2026,£363.62,£347.85,£15.77,£27.97,£54.80,£269.97,£38.85,63,13,£0.00,£0.00,£0.00,All
13,13-01-2026,£304.84,£288.08,£16.76,£30.48,£70.21,£157.04,£77.59,47,10,£0.00,£0.00,£0.00,All
14,14-01-2026,£532.09,£485.16,£46.93,£26.60,£231.35,£232.24,£68.50,73,20,£0.00,£0.00,£0.00,All
15,15-01-2026,£653.56,£619.59,£33.97,£29.71,£168.47,£444.19,£40.90,97,22,£0.00,£0.00,£0.00,All
16,16-01-2026,£890.54,£861.95,£28.59,£31.81,£196.45,£689.13,£4.96,139,28,£0.00,£0.00,£0.00,All
17,17-01-2026,£833.85,£781.76,£52.09,£27.80,£236.05,£504.05,£93.75,137,30,£0.00,£0.00,£0.00,All
18,18-01-2026,£332.02,£302.58,£29.44,£33.20,£207.49,£124.53,£0.00,37,10,£0.00,£0.00,£0.00,All
19,19-01-2026,£277.59,£269.62,£7.97,£25.24,£45.58,£232.01,£0.00,38,11,£0.00,£0.00,£0.00,All
20,20-01-2026,£444.93,£416.52,£28.41,£29.66,£178.93,£243.20,£22.80,67,15,£0.00,£0.00,£0.00,All
21,21-01-2026,£355.56,£347.22,£8.34,£27.35,£47.05,£302.06,£6.45,54,13,£0.00,£0.00,£0.00,All
22,22-01-2026,£494.46,£474.22,£20.24,£29.09,£85.34,£333.46,£75.66,70,17,£0.00,£0.00,£0.00,All
23,23-01-2026,£864.71,£838.18,£26.53,£28.82,£86.80,£686.84,£91.07,132,30,£0.00,£0.00,£0.00,All
24,24-01-2026,"£1,041.41",£984.45,£56.96,£28.93,£233.53,£687.94,£119.94,159,36,£0.00,£0.00,£0.00,All
25,25-01-2026,£547.08,£532.69,£14.39,£28.79,£88.10,£426.53,£32.45,86,19,£0.00,£0.00,£0.00,All
26,26-01-2026,£383.84,£360.13,£23.71,£29.53,£154.49,£229.35,£0.00,48,13,£0.00,£0.00,£0.00,All
27,27-01-2026,£341.25,£323.46,£17.79,£22.75,£68.52,£202.84,£69.89,60,15,£0.00,£0.00,£0.00,All
28,28-01-2026,£672.69,£635.47,£37.22,£29.25,£236.55,£436.14,£0.00,105,23,£0.00,£0.00,£0.00,All
29,29-01-2026,£488.53,£472.39,£16.14,£28.74,£106.40,£378.18,£3.95,81,17,£0.00,£0.00,£0.00,All
30,30-01-2026,£702.17,£678.51,£23.66,£27.01,£127.59,£511.64,£62.94,93,26,£0.00,£0.00,£0.00,All
31,31-01-2026,£832.99,£749.66,£83.33,£29.75,£439.80,£310.79,£82.40,116,28,£0.00,£0.00,£0.00,All
,,"£18,052.49","£17,149.42",£903.07,£29.40,"£4,895.22","£12,076.67","£1,080.60",2699,614,£0.00,£0.00,£0.00,
